day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
We,5/1/2024,84.37,1.931,0.1922,952.63,26.743,2314.97,37903.29,15605.48,5018.39
Tu,4/30/2024,87.59,1.991,0.1971,937.84,26.2942,2286.25,37815.92,15657.82,5035.69
Mo,4/29/2024,89.05,2.03,0.202,951.93,27.1429,2335.66,38386.09,15983.08,5116.17
Fr,4/26/2024,89.02,1.614,0.194,917.04,27.2058,2337.96,38239.66,15927.9,5099.96
Th,4/25/2024,88.46,1.638,0.1948,918.84,27.434,2332.46,38085.8,15611.76,5048.42
We,4/24/2024,87.86,1.653,0.2,905.73,27.1626,2316.17,38460.92,15712.75,5071.63
Tu,4/23/2024,87.52,1.812,0.1991,912.6,27.3068,2322.02,38503.69,15696.64,5070.55
Mo,4/22/2024,86.71,1.791,0.198,922.41,27.1965,2327.3,38239.98,15451.31,5010.6
Fr,4/19/2024,87.82,1.752,0.1973,935.54,28.689,2391.93,37986.4,15282.01,4967.23
Th,4/18/2024,87.11,1.757,0.1959,939.65,28.2446,2379.04,37775.38,15601.5,5011.12
We,4/17/2024,89.77,1.712,0.1932,943.33,28.2233,2361.02,37753.31,15683.37,5022.21
Tu,4/16/2024,90.18,1.732,0.1963,959.2,28.107,2382.89,37798.97,15865.25,5051.41
Mo,4/15/2024,90.03,1.691,0.2002,973.82,28.872,2383.34,37735.11,15885.02,5061.82
Fr,4/12/2024,91.49,1.77,0.2045,976.74,27.8773,2344.37,37983.24,16175.09,5123.41
Th,4/11/2024,92,1.764,0.2085,983.21,28.4437,2372.52,38459.08,16442.2,5199.06
We,4/10/2024,91.14,1.885,0.2146,965.24,27.9481,2334.04,38461.51,16170.36,5160.64
Tu,4/9/2024,91.36,1.872,0.2149,980.16,28.152,2352.78,38883.67,16306.64,5209.91
Mo,4/8/2024,91.51,1.844,0.2159,966.37,27.8505,2339.03,38892.8,16253.96,5202.39
Fr,4/5/2024,91.71,1.785,0.2199,930.56,27.4757,2329.75,38904.04,16248.52,5204.34
Th,4/4/2024,90.55,1.774,0.2236,934.78,26.9141,2290.94,38596.98,16049.08,5147.21
We,4/3/2024,90.59,1.841,0.2222,940.21,27.1822,2300,39127.14,16277.46,5211.49
Tu,4/2/2024,88.79,1.862,0.2232,924.97,26.1411,2280.67,39170.24,16240.45,5205.81
Mo,4/1/2024,86.38,1.837,0.2272,905.76,25.0842,2251.44,39566.85,16396.83,5243.77
Fr,3/29/2024,86.75,1.763,0.2252,911.29,24.9631,2229.87,39807.37,16379.46,5254.35
Th,3/28/2024,85.35,1.718,0.2219,911.29,24.6488,2194.79,39760.08,16399.52,5248.49
We,3/27/2024,84.39,1.575,0.2239,899.88,24.4553,2178.8,39282.33,16315.7,5203.58
Tu,3/26/2024,85.66,1.615,0.2195,905.42,24.6834,2171.83,39313.64,16384.47,5218.19
Mo,3/25/2024,85.38,1.659,0.2185,904.9,24.6733,2165.44,39475.9,16428.82,5234.18
Fr,3/22/2024,85.24,1.683,0.2206,898.35,24.7437,2181.33,39781.37,16401.84,5241.53
Th,3/21/2024,85.61,1.699,0.2177,908.26,25.5824,2186.39,39512.13,16369.41,5224.62
We,3/20/2024,86.36,1.744,0.2164,909.77,24.9148,2157.59,39110.76,16166.79,5178.51
Tu,3/19/2024,86.21,1.703,0.2216,896.99,25.0373,2160.36,38790.43,16103.45,5149.42
Mo,3/18/2024,85.71,1.655,0.2212,917.9,25.1869,2155.9,38714.77,15973.17,5117.09
Fr,3/15/2024,85.16,1.741,0.2177,938.89,24.8169,2162.19,38905.66,16128.53,5150.48
Th,3/14/2024,84.78,1.658,0.2193,927.4,25.0062,2174.41,39043.32,16177.77,5165.31
We,3/13/2024,83.18,1.714,0.2189,941.79,24.1448,2158.34,39005.49,16265.64,5175.27
Tu,3/12/2024,83.05,1.759,0.2195,925.41,24.4684,2182.75,38769.66,16019.27,5117.94
Mo,3/11/2024,83.02,1.805,0.2115,937.98,24.3117,2178.95,38722.69,16085.11,5123.69
Fr,3/8/2024,84.28,1.818,0.2128,914.49,24.3281,2159.98,38791.35,16273.38,5157.36
Th,3/7/2024,83.71,1.929,0.2145,921.08,24.1673,2148.18,38661.05,16031.54,5104.76
We,3/6/2024,83.2,1.957,0.2087,908.97,23.671,2128.04,38585.19,15939.59,5078.65
Tu,3/5/2024,84.26,1.916,0.206,883.65,23.8865,2114.48,38989.83,16207.51,5130.95
Mo,3/4/2024,84.74,1.835,0.2109,899.14,23.1235,2082.92,39087.38,16274.94,5137.08
Fr,3/1/2024,82.6,1.86,0.2258,888.26,22.6756,2044.3,38996.39,16091.92,5096.27
Th,2/29/2024,80.53,1.603,0.2401,880.27,22.4578,2034.55,38949.02,15947.74,5069.76
We,2/28/2024,81.15,1.773,0.2384,880.31,22.462,2030.48,38972.41,16035.3,5078.18
Tu,2/27/2024,80.76,1.576,0.2315,891.44,22.5206,2031.24,39069.23,15976.25,5069.53
Mo,2/26/2024,80.75,1.609,0.2262,880.61,22.95,2035.4,39131.53,15996.82,5088.8
Fr,2/23/2024,82.29,1.581,0.2283,901.91,22.7506,2024.39,39069.11,16041.62,5087.03
Th,2/22/2024,82.43,1.689,0.2277,901.71,22.886,2025.99,38612.24,15580.87,4981.8
We,2/21/2024,81.58,1.768,0.2275,887.71,23.0047,2024.41,38563.8,15630.78,4975.51
Tu,2/20/2024,82.59,1.847,0.2308,905.34,23.0232,2017.21,38627.99,15775.65,5005.57
Mo,2/19/2024,83.01,1.917,0.2308,902.75,23.4207,2013.59,38773.12,15906.17,5029.73
Fr,2/16/2024,82.78,1.967,0.2282,909.63,22.9242,2004.4,38424.27,15859.15,5000.62
Th,2/15/2024,82.36,2.009,0.2337,900.79,22.372,1992.33,38272.75,15655.6,4953.17
We,2/14/2024,83.77,2.082,0.233,892.76,22.1195,1993.15,38797.38,15942.55,5021.84
Tu,2/13/2024,82.71,2.079,0.2356,875.22,22.6992,2020.05,38671.69,15990.66,5026.61
Mo,2/12/2024,82.59,2.05,0.2402,892.64,22.6142,2024.26,38726.33,15793.71,4997.91
Fr,2/9/2024,82.09,2.1,0.2398,877.04,22.5845,2034.52,38677.36,15756.64,4995.06
Th,2/8/2024,79.53,2.077,0.2388,889.82,22.2199,2035.36,38521.36,15609,4954.23
We,2/7/2024,79.12,2.49,0.2356,883.36,22.4256,2036.14,38380.12,15597.68,4942.81
Tu,2/6/2024,77.85,2.712,0.2353,906.09,22.3535,2025.11,38654.42,15628.95,4958.61
Mo,2/5/2024,77.49,2.571,0.2389,899.66,22.691,2039.76,38519.84,15361.64,4906.19
Fr,2/2/2024,79.17,2.641,0.2356,896.95,23.1782,2054.99,38150.3,15164.01,4845.65
Th,2/1/2024,80.19,2.45,0.2413,916.51,22.958,2039.52,38467.31,15509.9,4924.97
We,1/31/2024,81.22,2.419,0.2391,922.31,23.1719,2037.01,38333.45,15628.04,4927.93
Tu,1/30/2024,81.23,2.519,0.2353,927.19,23.2043,2033.23,38109.43,15455.36,4890.97
Mo,1/29/2024,82.75,2.697,0.2377,932.16,22.802,2018.52,38049.13,15510.5,4894.16
Fr,1/26/2024,81.35,2.87,0.2404,915.68,22.9135,2020.84,37806.39,15481.92,4868.55
Th,1/25/2024,80.48,2.9,0.2446,893.77,22.6675,2013.89,37905.45,15425.94,4864.6
We,1/24/2024,79.73,3.313,0.2375,903.46,22.444,2029.28,38001.81,15360.29,4850.43
Tu,1/23/2024,79.44,3.097,0.235,904.7,22.096,2021.7,37863.8,15310.97,4839.81
Mo,1/22/2024,78.26,3.039,0.2357,896.91,22.6216,2029.49,37468.61,15055.65,4780.94
Fr,1/19/2024,80.15,3.19,0.2304,903.27,22.7409,2023.34,37266.67,14855.62,4739.21
Th,1/18/2024,78.44,2.98,0.2235,910.8,22.5565,2006.25,37361.12,14944.35,4765.98
We,1/17/2024,77.11,2.893,0.2252,887.12,22.9193,2028.44,37592.98,14972.76,4783.83
Tu,1/16/2024,79.02,2.821,0.2161,900,23.2212,2056.55,37711.02,14970.18,4780.24
Mo,1/15/2024,78.83,2.668,0.2161,917.04,23.1947,2049.06,37695.73,14969.65,4783.45
Fr,1/12/2024,80.32,2.568,0.2176,911.64,22.7509,2028.91,37525.16,14857.71,4756.5
Th,1/11/2024,78.47,2.514,0.2141,919.12,22.9005,2024.41,37683.01,14843.77,4763.54
We,1/10/2024,78.01,2.557,0.217,922.61,22.9818,2030.2,37466.11,14524.07,4697.24
Tu,1/9/2024,77.23,2.619,0.2174,934.85,23.1101,2028.07,37440.34,14510.3,4688.68
Mo,1/8/2024,77.63,2.55,0.2111,947.91,23.192,2045.45,37430.19,14592.21,4704.81
Fr,1/5/2024,77.64,2.61,0.2108,964.18,23.0108,2043.65,37715.04,14765.94,4742.83
Th,1/4/2024,78.12,2.572,0.2085,958.93,22.9895,2041.49,37689.54,15011.35,4769.83
