Month,USA_CPI,AUT_CPI,CAN_CPI,SA_CPI,UK_CPI,SUI_CPI,FRA_CPI,GER_CPI,IL_CPI,ITA_CPI,PRC_CPI,RUS_CPI
202303,127.348,128.46,122.702,147.586,126.8,106.245,116.79,122.402,110.168,118.8,132.2932475,226.2851448
202302,126.928,127.812,122.07,146.101,126,106.082,115.78,121.453,109.741,119.3,132.6778209,226.2553009
202301,126.223,126.622,121.596,145.021,124.8,105.296,114.6,120.505,109.207,119.1,133.3187765,226.2714526
202212,125.222,125.541,120.964,145.156,125.3,104.666,114.16,119.345,108.887,119,132.2932475,226.3286811
202211,125.6,125.3,121.7,144.6,124.8,104.9,114.3,119.872,108.6,118.7,132.4214386,226.1657689
202210,125.7,125,121.5,144.1,124.3,104.9,113.9,119.661,108.5,118.1,132.6778209,226.3199078
202209,125.2,123.8,120.6,143.7,122.3,104.8,112.7,118.818,107.9,114.2,132.5496297,226.5003664
202208,125,121.8,120.6,143.5,121.8,105,113.4,116.709,107.7,113.9,132.1650563,225.6770326
202207,125,121.8,121,143.1,121.2,104.7,112.9,116.287,108,113,132.2932475,226.7823244
202206,125,120.6,120.8,140.8,120.5,104.8,112.5,115.76,106.8,112.5,131.6522918,227.0417424
202205,123.3,118.9,120,139.3,119.7,104.3,111.7,115.76,106.4,111.2,131.6522918,223.2070309
202204,122,118,118.4,138.4,119,103.6,111,114.706,105.7,110.3,131.9086741,230.0982
202203,121.3,117.6,117.6,137.6,116.5,103.2,110.5,113.968,104.9,110.4,131.3959095,227.8199962
202202,119.7,115.3,116,136.1,115.4,102.6,108.9,111.754,104.3,109.3,131.3959095,211.7028965
202201,118.6,113.9,114.8,135.3,114.6,101.9,108.1,110.911,103.6,108.3,130.6267628,209.2545965
202112,117.6,114,113.8,135,114.7,101.8,107.8,110.383,103.4,106.6,129.9858071,207.2032965
202111,117.3,113.3,113.9,134.2,114.1,101.9,107.6,110.173,103.1,106.2,130.3703805,205.5180966
202110,116.7,112.6,113.7,133.7,113.4,101.8,107.3,109.962,103.2,105.6,129.857616,203.5638966
202109,115.7,111.9,112.9,133.3,112.4,101.5,106.8,109.435,103.1,104.9,128.9602781,201.3290966
202108,115.4,111.4,112.7,133,112.1,101.5,107,109.118,102.9,105.1,128.9602781,200.1282967
202107,115.2,111.3,112.4,132.5,111.4,101.3,106.4,109.013,102.6,104.7,128.8320869,199.7886967
202106,114.6,110.9,111.7,131.1,111.4,101.4,106.3,108.486,102.2,104.2,128.4475135,199.1712967
202105,113.6,110.4,111.4,130.7,111,101.3,106.2,108.17,102.1,104.1,128.9602781,197.8063967
202104,112.7,110.1,110.9,130.6,110.4,101,105.9,107.959,101.7,104.1,129.0884692,196.3533967
202103,111.8,110.2,110.3,129.6,109.7,100.8,105.8,107.642,101.4,103.7,129.4730426,195.2210967
202102,111,109,109.7,128.8,109.4,100.5,105.1,107.115,100.8,103.4,130.1139982,193.9410968
202101,110.4,108.5,109.2,128,109.3,100.3,105.1,106.483,100.5,103.3,129.3448514,192.4400968
202012,109.9,109.3,108.6,127.5,109.4,100.2,105,105.217,100.6,102.6,128.1381755,191.1592968
202011,109.8,108.7,108.8,127.3,109.1,100.3,104.7,105.112,100.7,102.4,127.2187887,189.5856968
202010,109.9,108.6,108.6,127.3,109.2,100.6,104.5,105.323,100.9,102.5,128.0232393,188.2491969
202009,109.8,108.3,108.2,126.8,109.2,100.6,104.5,105.112,100.6,102.3,128.368035,187.4431969
202008,109.7,107.9,108.2,126.7,108.8,100.6,105.1,105.112,100.7,103,128.1381755,187.5744969
202007,109.3,108.1,108.4,126.5,109.2,100.6,105.2,105.112,100.7,102.7,126.4143381,187.6494969
202006,108.8,107.9,108.4,124.8,108.8,100.7,104.8,105.955,100.5,102.9,126.8740187,186.9949969
202005,108.2,107.4,107.5,124.2,108.6,100.7,104.7,105.85,100.6,102.8,126.8740187,186.5844969
202004,108.2,108,107.2,124.9,108.6,100.7,104.6,105.85,100.9,103,127.9083288,186.0820969
202003,108.9,108,107.9,125.7,108.6,101,104.6,105.745,101.2,102.9,129.0575751,184.5503969
202002,109.1,107.7,108.6,125.2,108.6,101,104.5,105.534,100.8,102.8,130.666502,183.5408969
202001,108.8,107.6,108.1,124,108.3,100.8,104.5,105.217,100.9,102.9,129.6321278,182.937197
201912,108.4,108.1,107.8,123.7,108.5,101.1,105,105.818,101.3,102.8,127.7934055,182.208397
201911,108.5,107.4,107.8,123.4,108.5,101,104.5,105.318,101.3,102.6,127.7934055,181.554797
201910,108.6,107.2,107.9,123.3,108.3,101.2,104.5,106.118,101.7,102.8,127.3337121,181.047797
201909,108.3,107,107.6,123.3,108.4,101.4,104.5,106.018,101.3,102.9,126.1844914,180.812797
201908,108.2,106.5,108.1,122.9,108.3,101.5,104.9,106.018,101.5,103.5,125.1501941,181.102497
201907,108.3,106.4,108.2,122.6,108,101.5,104.4,106.218,101.3,103.1,124.2308073,181.538197
201906,108.1,106.8,107.7,122.2,107.9,102,104.6,105.718,101.6,103.1,123.7711267,181.175897
201905,108,106.7,107.9,121.8,107.9,102.1,104.3,105.418,102.2,103,123.88605,181.103397
